Key;English;Vietnamese
ribbon.tab.file;File;Tệp
ribbon.tab.home;Home;Trang chủ
ribbon.tab.view;View;Xem
ribbon.tab.text;Text;Văn bản
ribbon.tab.strip;Ribbon tabs;Các thẻ ribbon
ribbon.toolbar.label;Drawing tools;Công cụ vẽ
ribbon.toolbar.minimize;Minimize the Ribbon;Thu gọn ribbon
ribbon.toolbar.pin;Pin the Ribbon;Ghim ribbon
ribbon.clipboard.label;Clipboard;Bảng tạm
ribbon.clipboard.paste;Paste;Dán
ribbon.clipboard.paste-from;Paste from...;Dán từ...
ribbon.clipboard.cut;Cut;Cắt
ribbon.clipboard.copy;Copy;Sao chép
ribbon.image.label;Image;Ảnh
ribbon.image.select;Select;Chọn
ribbon.image.selection-shapes;Selection shapes;Kiểu vùng chọn
ribbon.image.select-rect;Rectangular selection;Chọn hình chữ nhật
ribbon.image.select-free;Free-form selection;Chọn tự do
ribbon.image.selection-options;Selection options;Tuỳ chọn vùng chọn
ribbon.image.select-all;Select all;Chọn tất cả
ribbon.image.invert-selection;Invert selection;Đảo vùng chọn
ribbon.image.delete;Delete;Xoá
ribbon.image.transparent-selection;Transparent selection;Vùng chọn trong suốt
ribbon.image.crop;Crop;Cắt xén
ribbon.image.resize;Resize;Đổi cỡ
ribbon.image.rotate;Rotate;Xoay
ribbon.image.rotate-right;Rotate right 90°;Xoay phải 90°
ribbon.image.rotate-left;Rotate left 90°;Xoay trái 90°
ribbon.image.rotate-180;Rotate 180°;Xoay 180°
ribbon.image.flip-vertical;Flip vertical;Lật dọc
ribbon.image.flip-horizontal;Flip horizontal;Lật ngang
ribbon.tools.label;Tools;Công cụ
ribbon.tools.pencil;Pencil;Bút chì
ribbon.tools.fill;Fill with color;Tô màu
ribbon.tools.text;Text;Chữ
ribbon.tools.eraser;Eraser;Tẩy
ribbon.tools.picker;Color picker;Lấy màu
ribbon.tools.magnifier;Magnifier;Kính lúp
ribbon.brushes.label;Brushes;Cọ vẽ
ribbon.brushes.brush;Brush;Cọ
ribbon.brushes.calligraphy1;Calligraphy brush 1;Cọ thư pháp 1
ribbon.brushes.calligraphy2;Calligraphy brush 2;Cọ thư pháp 2
ribbon.brushes.airbrush;Airbrush;Bình xịt
ribbon.brushes.oil;Oil brush;Cọ sơn dầu
ribbon.brushes.crayon;Crayon;Bút sáp
ribbon.brushes.marker;Marker;Bút dạ
ribbon.brushes.natural-pencil;Natural pencil;Bút chì tự nhiên
ribbon.brushes.watercolor;Watercolor;Màu nước
ribbon.shapes.label;Shapes;Hình
ribbon.shapes.line;Line;Đường thẳng
ribbon.shapes.curve;Curve;Đường cong
ribbon.shapes.oval;Oval;Hình bầu dục
ribbon.shapes.rect;Rectangle;Hình chữ nhật
ribbon.shapes.rounded-rect;Rounded rectangle;Chữ nhật bo góc
ribbon.shapes.polygon;Polygon;Đa giác
ribbon.shapes.right-triangle;Right triangle;Tam giác vuông
ribbon.shapes.triangle;Triangle;Tam giác
ribbon.shapes.diamond;Diamond;Hình thoi
ribbon.shapes.pentagon;Pentagon;Ngũ giác
ribbon.shapes.hexagon;Hexagon;Lục giác
ribbon.shapes.arrow-right;Right arrow;Mũi tên phải
ribbon.shapes.arrow-left;Left arrow;Mũi tên trái
ribbon.shapes.arrow-up;Up arrow;Mũi tên lên
ribbon.shapes.arrow-down;Down arrow;Mũi tên xuống
ribbon.shapes.star-4;Four-point star;Sao bốn cánh
ribbon.shapes.star-5;Five-point star;Sao năm cánh
ribbon.shapes.star-6;Six-point star;Sao sáu cánh
ribbon.shapes.callout-rounded;Rounded rectangular callout;Chú thích chữ nhật bo góc
ribbon.shapes.callout-oval;Oval callout;Chú thích bầu dục
ribbon.shapes.callout-cloud;Cloud callout;Chú thích đám mây
ribbon.shapes.heart;Heart;Trái tim
ribbon.shapes.lightning;Lightning;Tia chớp
ribbon.shapes.scroll-up;Scroll up;Cuộn lên
ribbon.shapes.scroll-down;Scroll down;Cuộn xuống
ribbon.shapes.show-all;Show all shapes;Hiện tất cả hình
ribbon.shapes.outline;Outline;Viền
ribbon.shapes.fill;Fill;Tô
ribbon.stroke.none;No outline;Không viền
ribbon.stroke.none-fill;No fill;Không tô
ribbon.stroke.solid;Solid color;Màu đặc
ribbon.stroke.crayon;Crayon;Bút sáp
ribbon.stroke.marker;Marker;Bút dạ
ribbon.stroke.oil;Oil;Sơn dầu
ribbon.stroke.natural-pencil;Natural pencil;Bút chì tự nhiên
ribbon.stroke.watercolor;Watercolor;Màu nước
ribbon.size.label;Size;Cỡ nét
ribbon.size.value;{0}px;{0}px
ribbon.size.tooltip;Size ({0}px) - {1} / {2};Cỡ nét ({0}px) - {1} / {2}
ribbon.colors.label;Colors;Màu
ribbon.colors.color1;Color 1;Màu 1
ribbon.colors.color2;Color 2;Màu 2
ribbon.colors.custom-empty;Custom color slot;Ô màu tuỳ chỉnh trống
ribbon.colors.edit;Edit colors;Sửa màu
ribbon.font.label;Font;Phông chữ
ribbon.font.family;Font family;Kiểu phông
ribbon.font.size;Font size;Cỡ phông
ribbon.font.bold;Bold;Đậm
ribbon.font.italic;Italic;Nghiêng
ribbon.font.underline;Underline;Gạch chân
ribbon.font.strikethrough;Strikethrough;Gạch ngang
ribbon.background.label;Background;Nền
ribbon.background.transparent;Transparent;Trong suốt
ribbon.background.opaque;Opaque;Đục
ribbon.extras.label;Extras;Khác
ribbon.extras.copy;Copy to clipboard;Chép ra bảng tạm
ribbon.extras.copy-tooltip;Copy the whole image or the selection to the system clipboard;Chép toàn ảnh hoặc vùng chọn ra bảng tạm của hệ thống
